Politiek,"Hoe sterk is de afhankelijkheid van derden? Zijn er alternatieven voor elke samenwerking, leveranciers, ..? Bijvoorbeeld op vlak van AI, gebruik maken van Mistral AI (Frans, Europees) ipv ChatGPT (Amerikaans)"
Politiek,"Is jullie product politiek gekleurd? M.a.w. heeft de overheid van het land waarin het product bedacht wordt, invloed op de werking van het product? Zoals Deepseek uit China die vragen over de repressie op het Tiananmenplein niet wilt beantwoorden: https://www.vrt.be/vrtnws/nl/2025/01/28/wat-is-deepseek/ "
Politiek,Hoe afhankelijk is het product van de internationale handel en akkoorden? Ondervindt het product bijvoorbeeld een effect van de verhoogde importtarieven van Donald Trump? https://www.vbo-feb.be/nl/nieuws/amerikaanse-invoertarieven-wat-moet-u-weten/
Politiek,Vanwaar moeten de verschillende onderdelen van het product komen? Stoten jullie hierbij op bepaalde import/export beperkingen?
Politiek,In welke mate wordt het product beïnvloed door politieke beslissingen op korte/lange termijn?
Economisch,Is het product betaalbaar voor de beoogde doelgroep?
Economisch,Is er vraag naar het product?
Economisch,"Op welke niveau's (lokaal, regionaal, nationaal) kan het product bijdragen aan economische groei of werkgelegenheid?"
Economisch,Zorgt het product ervoor dat jobs zullen verdwijnen of juist bijkomen?
Economisch,Wat is het verdienmodel? Is het winstgevend op lange termijn?
Economisch,Zijn er concurrenten op de markt?
Economisch,Wordt het goedkoper om het product te maken als je er heel veel van maakt?
Sociaal-cultureel,Welke bevolkingsgroepen worden beïnvloed door jullie product? Wie heeft er het meeste baat bij en wie niet?
Sociaal-cultureel,Is het product voor iedereen toegankelijk? Worden er mensen uitgesloten die het product niet kunnen gebruiken door bijvoorbeeld een gebrek aan digitale kennis?
Sociaal-cultureel,Hoe ligt het probleem in een andere culturele context dan deze van het ontwikkelingsteam? Hoe zit het met het gebruik van het product in deze andere culturele context?
Sociaal-cultureel,Welke invloed heeft jouw product op het (sociale) leven van de gebruiker?
Sociaal-cultureel,Bevordert het product welzijn of levenskwaliteit? Op welke manier?
